participant_id,eligible,reason,n_test_rows,n_unique_test_qids,missing_qids,unexpected_qids,duplicate_qids,explanation_type,exp_property
1,True,eligible,29,29,,,,2.0,robust
2,True,eligible,29,29,,,,2.0,robust
3,True,eligible,29,29,,,,2.0,robust
4,True,eligible,29,29,,,,3.0,sparse_robust
5,True,eligible,29,29,,,,1.0,sparse
6,True,eligible,29,29,,,,3.0,sparse_robust
7,True,eligible,29,29,,,,1.0,sparse
8,True,eligible,29,29,,,,3.0,sparse_robust
9,True,eligible,29,29,,,,2.0,robust
10,True,eligible,29,29,,,,2.0,robust
11,True,eligible,29,29,,,,3.0,sparse_robust
12,True,eligible,29,29,,,,2.0,robust
13,True,eligible,29,29,,,,3.0,sparse_robust
14,True,eligible,29,29,,,,1.0,sparse
15,True,eligible,29,29,,,,3.0,sparse_robust
16,True,eligible,29,29,,,,2.0,robust
17,True,eligible,29,29,,,,2.0,robust
18,True,eligible,29,29,,,,0.0,faithful
19,True,eligible,29,29,,,,3.0,sparse_robust
20,True,eligible,29,29,,,,2.0,robust
21,True,eligible,29,29,,,,1.0,sparse
22,True,eligible,29,29,,,,3.0,sparse_robust
23,True,eligible,29,29,,,,3.0,sparse_robust
24,True,eligible,29,29,,,,1.0,sparse
25,True,eligible,29,29,,,,0.0,faithful
26,True,eligible,29,29,,,,0.0,faithful
27,True,eligible,29,29,,,,3.0,sparse_robust
28,True,eligible,29,29,,,,0.0,faithful
29,True,eligible,29,29,,,,0.0,faithful
30,True,eligible,29,29,,,,1.0,sparse
31,True,eligible,29,29,,,,1.0,sparse
32,True,eligible,29,29,,,,3.0,sparse_robust
33,True,eligible,29,29,,,,2.0,robust
34,True,eligible,29,29,,,,1.0,sparse
35,True,eligible,29,29,,,,1.0,sparse
36,True,eligible,29,29,,,,1.0,sparse
37,True,eligible,29,29,,,,0.0,faithful
38,True,eligible,29,29,,,,0.0,faithful
39,True,eligible,29,29,,,,0.0,faithful
40,True,eligible,29,29,,,,0.0,faithful
41,True,eligible,29,29,,,,0.0,faithful
42,True,eligible,29,29,,,,0.0,faithful
43,True,eligible,29,29,,,,1.0,sparse
44,True,eligible,29,29,,,,1.0,sparse
45,True,eligible,29,29,,,,2.0,robust
46,True,eligible,29,29,,,,0.0,faithful
